Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration,Permeability,FOS
15,0,30,10,0,0.001,0.54
15,0,30,10,1,0.001,0.537
15,0,30,10,2,0.001,0.535
15,0,30,10,3,0.001,0.534
15,0,30,10,4,0.001,0.533
15,0,30,10,8,0.001,0.531
15,0,30,10,12,0.001,0.531
15,0,30,10,16,0.001,0.53
15,0,30,10,20,0.001,0.529
15,0,30,10,24,0.001,0.529
15,0,30,30,0,0.001,0.54
15,0,30,30,1,0.001,0.531
15,0,30,30,2,0.001,0.527
15,0,30,30,3,0.001,0.524
15,0,30,30,4,0.001,0.522
15,0,30,30,8,0.001,0.517
15,0,30,30,12,0.001,0.513
15,0,30,30,16,0.001,0.512
15,0,30,30,20,0.001,0.512
15,0,30,30,24,0.001,0.512
15,0,30,60,0,0.001,0.540
15,0,30,60,1,0.001,0.523
15,0,30,60,2,0.001,0.514
15,0,30,60,3,0.001,0.508
15,0,30,60,4,0.001,0.503
15,0,30,60,8,0.001,0.488
15,0,30,60,12,0.001,0.484
15,0,30,60,16,0.001,0.483
15,0,30,60,20,0.001,0.483
15,0,30,60,24,0.001,0.483
15,5,30,10,0,0.001,0.88
15,5,30,10,1,0.001,0.879
15,5,30,10,2,0.001,0.878
15,5,30,10,3,0.001,0.877
15,5,30,10,4,0.001,0.877
15,5,30,10,8,0.001,0.875
15,5,30,10,12,0.001,0.874
15,5,30,10,16,0.001,0.873
15,5,30,10,20,0.001,0.872
15,5,30,10,24,0.001,0.871
15,5,30,30,0,0.001,0.88
15,5,30,30,1,0.001,0.877
15,5,30,30,2,0.001,0.875
15,5,30,30,3,0.001,0.874
15,5,30,30,4,0.001,0.872
15,5,30,30,8,0.001,0.867
15,5,30,30,12,0.001,0.864
15,5,30,30,16,0.001,0.863
15,5,30,30,20,0.001,0.862
15,5,30,30,24,0.001,0.862
15,5,30,60,0,0.001,0.880
15,5,30,60,1,0.001,0.874
15,5,30,60,2,0.001,0.870
15,5,30,60,3,0.001,0.867
15,5,30,60,4,0.001,0.864
15,5,30,60,8,0.001,0.853
15,5,30,60,12,0.001,0.851
15,5,30,60,16,0.001,0.851
15,5,30,60,20,0.001,0.851
15,5,30,60,24,0.001,0.851
15,10,30,10,0,0.001,1.163
15,10,30,10,1,0.001,1.162
15,10,30,10,2,0.001,1.161
15,10,30,10,3,0.001,1.16
15,10,30,10,4,0.001,1.16
15,10,30,10,8,0.001,1.158
15,10,30,10,12,0.001,1.156
15,10,30,10,16,0.001,1.155
15,10,30,10,20,0.001,1.153
15,10,30,10,24,0.001,1.153
15,10,30,30,0,0.001,1.163
15,10,30,30,1,0.001,1.16
15,10,30,30,2,0.001,1.158
15,10,30,30,3,0.001,1.156
15,10,30,30,4,0.001,1.154
15,10,30,30,8,0.001,1.149
15,10,30,30,12,0.001,1.145
15,10,30,30,16,0.001,1.144
15,10,30,30,20,0.001,1.144
15,10,30,30,24,0.001,1.144
15,10,30,60,0,0.001,1.163
15,10,30,60,1,0.001,1.157
15,10,30,60,2,0.001,1.153
15,10,30,60,3,0.001,1.149
15,10,30,60,4,0.001,1.145
15,10,30,60,8,0.001,1.135
15,10,30,60,12,0.001,1.132
15,10,30,60,16,0.001,1.132
15,10,30,60,20,0.001,1.132
15,10,30,60,24,0.001,1.132
15,15,30,10,0,0.001,1.425
15,15,30,10,1,0.001,1.424
15,15,30,10,2,0.001,1.424
15,15,30,10,3,0.001,1.423
15,15,30,10,4,0.001,1.423
15,15,30,10,8,0.001,1.421
15,15,30,10,12,0.001,1.421
15,15,30,10,16,0.001,1.419
15,15,30,10,20,0.001,1.418
15,15,30,10,24,0.001,1.417
15,15,30,30,0,0.001,1.425
15,15,30,30,1,0.001,1.423
15,15,30,30,2,0.001,1.421
15,15,30,30,3,0.001,1.42
15,15,30,30,4,0.001,1.418
15,15,30,30,8,0.001,1.414
15,15,30,30,12,0.001,1.411
15,15,30,30,16,0.001,1.41
15,15,30,30,20,0.001,1.41
15,15,30,30,24,0.001,1.41
15,15,30,60,0,0.001,1.425
15,15,30,60,1,0.001,1.420
15,15,30,60,2,0.001,1.417
15,15,30,60,3,0.001,1.413
15,15,30,60,4,0.001,1.410
15,15,30,60,8,0.001,1.402
15,15,30,60,12,0.001,1.399
15,15,30,60,16,0.001,1.399
15,15,30,60,20,0.001,1.399
15,15,30,60,24,0.001,1.399
15,20,30,10,0,0.001,1.685
15,20,30,10,1,0.001,1.684
15,20,30,10,2,0.001,1.684
15,20,30,10,3,0.001,1.683
15,20,30,10,4,0.001,1.683
15,20,30,10,8,0.001,1.682
15,20,30,10,12,0.001,1.68
15,20,30,10,16,0.001,1.679
15,20,30,10,20,0.001,1.678
15,20,30,10,24,0.001,1.678
15,20,30,30,0,0.001,1.685
15,20,30,30,1,0.001,1.683
15,20,30,30,2,0.001,1.681
15,20,30,30,3,0.001,1.68
15,20,30,30,4,0.001,1.678
15,20,30,30,8,0.001,1.674
15,20,30,30,12,0.001,1.671
15,20,30,30,16,0.001,1.67
15,20,30,30,20,0.001,1.67
15,20,30,30,24,0.001,1.67
15,20,30,60,0,0.001,1.685
15,20,30,60,1,0.001,1.681
15,20,30,60,2,0.001,1.677
15,20,30,60,3,0.001,1.674
15,20,30,60,4,0.001,1.671
15,20,30,60,8,0.001,1.662
15,20,30,60,12,0.001,1.660
15,20,30,60,16,0.001,1.660
15,20,30,60,20,0.001,1.660
15,20,30,60,24,0.001,1.660
20,0,30,10,0,0.001,0.733
20,0,30,10,1,0.001,0.728
20,0,30,10,2,0.001,0.726
20,0,30,10,3,0.001,0.724
20,0,30,10,4,0.001,0.723
20,0,30,10,8,0.001,0.721
20,0,30,10,12,0.001,0.72
20,0,30,10,16,0.001,0.719
20,0,30,10,20,0.001,0.718
20,0,30,10,24,0.001,0.717
20,0,30,30,0,0.001,0.733
20,0,30,30,1,0.001,0.721
20,0,30,30,2,0.001,0.715
20,0,30,30,3,0.001,0.711
20,0,30,30,4,0.001,0.709
20,0,30,30,8,0.001,0.703
20,0,30,30,12,0.001,0.697
20,0,30,30,16,0.001,0.695
20,0,30,30,20,0.001,0.695
20,0,30,30,24,0.001,0.695
20,0,30,60,0,0.001,0.733
20,0,30,60,1,0.001,0.710
20,0,30,60,2,0.001,0.697
20,0,30,60,3,0.001,0.689
20,0,30,60,4,0.001,0.683
20,0,30,60,8,0.001,0.662
20,0,30,60,12,0.001,0.656
20,0,30,60,16,0.001,0.655
20,0,30,60,20,0.001,0.655
20,0,30,60,24,0.001,0.655
20,5,30,10,0,0.001,1.091
20,5,30,10,1,0.001,1.089
20,5,30,10,2,0.001,1.087
20,5,30,10,3,0.001,1.086
20,5,30,10,4,0.001,1.085
20,5,30,10,8,0.001,1.082
20,5,30,10,12,0.001,1.078
20,5,30,10,16,0.001,1.076
20,5,30,10,20,0.001,1.073
20,5,30,10,24,0.001,1.072
20,5,30,30,0,0.001,1.091
20,5,30,30,1,0.001,1.085
20,5,30,30,2,0.001,1.082
20,5,30,30,3,0.001,1.079
20,5,30,30,4,0.001,1.076
20,5,30,30,8,0.001,1.066
20,5,30,30,12,0.001,1.06
20,5,30,30,16,0.001,1.058
20,5,30,30,20,0.001,1.058
20,5,30,30,24,0.001,1.058
20,5,30,60,0,0.001,1.091
20,5,30,60,1,0.001,1.081
20,5,30,60,2,0.001,1.073
20,5,30,60,3,0.001,1.066
20,5,30,60,4,0.001,1.060
20,5,30,60,8,0.001,1.043
20,5,30,60,12,0.001,1.040
20,5,30,60,16,0.001,1.040
20,5,30,60,20,0.001,1.040
20,5,30,60,24,0.001,1.040
20,10,30,10,0,0.001,1.378
20,10,30,10,1,0.001,1.377
20,10,30,10,2,0.001,1.376
20,10,30,10,3,0.001,1.375
20,10,30,10,4,0.001,1.374
20,10,30,10,8,0.001,1.372
20,10,30,10,12,0.001,1.37
20,10,30,10,16,0.001,1.368
20,10,30,10,20,0.001,1.366
20,10,30,10,24,0.001,1.365
20,10,30,30,0,0.001,1.378
20,10,30,30,1,0.001,1.374
20,10,30,30,2,0.001,1.372
20,10,30,30,3,0.001,1.369
20,10,30,30,4,0.001,1.367
20,10,30,30,8,0.001,1.36
20,10,30,30,12,0.001,1.355
20,10,30,30,16,0.001,1.354
20,10,30,30,20,0.001,1.354
20,10,30,30,24,0.001,1.354
20,10,30,60,0,0.001,1.378
20,10,30,60,1,0.001,1.370
20,10,30,60,2,0.001,1.365
20,10,30,60,3,0.001,1.360
20,10,30,60,4,0.001,1.355
20,10,30,60,8,0.001,1.341
20,10,30,60,12,0.001,1.338
20,10,30,60,16,0.001,1.338
20,10,30,60,20,0.001,1.338
20,10,30,60,24,0.001,1.338
20,15,30,10,0,0.001,1.655
20,15,30,10,1,0.001,1.654
20,15,30,10,2,0.001,1.654
20,15,30,10,3,0.001,1.653
20,15,30,10,4,0.001,1.653
20,15,30,10,8,0.001,1.651
20,15,30,10,12,0.001,1.649
20,15,30,10,16,0.001,1.647
20,15,30,10,20,0.001,1.646
20,15,30,10,24,0.001,1.645
20,15,30,30,0,0.001,1.655
20,15,30,30,1,0.001,1.652
20,15,30,30,2,0.001,1.65
20,15,30,30,3,0.001,1.648
20,15,30,30,4,0.001,1.646
20,15,30,30,8,0.001,1.64
20,15,30,30,12,0.001,1.634
20,15,30,30,16,0.001,1.633
20,15,30,30,20,0.001,1.633
20,15,30,30,24,0.001,1.633
20,15,30,60,0,0.001,1.655
20,15,30,60,1,0.001,1.649
20,15,30,60,2,0.001,1.644
20,15,30,60,3,0.001,1.640
20,15,30,60,4,0.001,1.635
20,15,30,60,8,0.001,1.620
20,15,30,60,12,0.001,1.617
20,15,30,60,16,0.001,1.617
20,15,30,60,20,0.001,1.617
20,15,30,60,24,0.001,1.617
20,20,30,10,0,0.001,1.916
20,20,30,10,1,0.001,1.915
20,20,30,10,2,0.001,1.914
20,20,30,10,3,0.001,1.913
20,20,30,10,4,0.001,1.913
20,20,30,10,8,0.001,1.911
20,20,30,10,12,0.001,1.909
20,20,30,10,16,0.001,1.907
20,20,30,10,20,0.001,1.906
20,20,30,10,24,0.001,1.906
20,20,30,30,0,0.001,1.916
20,20,30,30,1,0.001,1.913
20,20,30,30,2,0.001,1.911
20,20,30,30,3,0.001,1.909
20,20,30,30,4,0.001,1.907
20,20,30,30,8,0.001,1.901
20,20,30,30,12,0.001,1.897
20,20,30,30,16,0.001,1.895
20,20,30,30,20,0.001,1.895
20,20,30,30,24,0.001,1.895
20,20,30,60,0,0.001,1.916
20,20,30,60,1,0.001,1.910
20,20,30,60,2,0.001,1.905
20,20,30,60,3,0.001,1.900
20,20,30,60,4,0.001,1.896
20,20,30,60,8,0.001,1.884
20,20,30,60,12,0.001,1.882
20,20,30,60,16,0.001,1.881
20,20,30,60,20,0.001,1.881
20,20,30,60,24,0.001,1.881
25,0,30,10,0,0.001,0.937
25,0,30,10,1,0.001,0.932
25,0,30,10,2,0.001,0.929
25,0,30,10,3,0.001,0.927
25,0,30,10,4,0.001,0.925
25,0,30,10,8,0.001,0.922
25,0,30,10,12,0.001,0.921
25,0,30,10,16,0.001,0.92
25,0,30,10,20,0.001,0.919
25,0,30,10,24,0.001,0.918
25,0,30,30,0,0.001,0.937
25,0,30,30,1,0.001,0.922
25,0,30,30,2,0.001,0.915
25,0,30,30,3,0.001,0.91
25,0,30,30,4,0.001,0.907
25,0,30,30,8,0.001,0.899
25,0,30,30,12,0.001,0.893
25,0,30,30,16,0.001,0.89
25,0,30,30,20,0.001,0.889
25,0,30,30,24,0.001,0.889
25,0,30,60,0,0.001,0.937
25,0,30,60,1,0.001,0.909
25,0,30,60,2,0.001,0.891
25,0,30,60,3,0.001,0.880
25,0,30,60,4,0.001,0.873
25,0,30,60,8,0.001,0.847
25,0,30,60,12,0.001,0.839
25,0,30,60,16,0.001,0.838
25,0,30,60,20,0.001,0.838
25,0,30,60,24,0.001,0.838
25,5,30,10,0,0.001,1.304
25,5,30,10,1,0.001,1.302
25,5,30,10,2,0.001,1.3
25,5,30,10,3,0.001,1.298
25,5,30,10,4,0.001,1.297
25,5,30,10,8,0.001,1.293
25,5,30,10,12,0.001,1.288
25,5,30,10,16,0.001,1.285
25,5,30,10,20,0.001,1.282
25,5,30,10,24,0.001,1.28
25,5,30,30,0,0.001,1.304
25,5,30,30,1,0.001,1.297
25,5,30,30,2,0.001,1.293
25,5,30,30,3,0.001,1.289
25,5,30,30,4,0.001,1.285
25,5,30,30,8,0.001,1.272
25,5,30,30,12,0.001,1.265
25,5,30,30,16,0.001,1.263
25,5,30,30,20,0.001,1.262
25,5,30,30,24,0.001,1.262
25,5,30,60,0,0.001,1.304
25,5,30,60,1,0.001,1.291
25,5,30,60,2,0.001,1.281
25,5,30,60,3,0.001,1.272
25,5,30,60,4,0.001,1.265
25,5,30,60,8,0.001,1.244
25,5,30,60,12,0.001,1.240
25,5,30,60,16,0.001,1.240
25,5,30,60,20,0.001,1.240
25,5,30,60,24,0.001,1.240
25,10,30,10,0,0.001,1.604
25,10,30,10,1,0.001,1.602
25,10,30,10,2,0.001,1.601
25,10,30,10,3,0.001,1.6
25,10,30,10,4,0.001,1.599
25,10,30,10,8,0.001,1.596
25,10,30,10,12,0.001,1.595
25,10,30,10,16,0.001,1.592
25,10,30,10,20,0.001,1.591
25,10,30,10,24,0.001,1.589
25,10,30,30,0,0.001,1.604
25,10,30,30,1,0.001,1.599
25,10,30,30,2,0.001,1.596
25,10,30,30,3,0.001,1.593
25,10,30,30,4,0.001,1.591
25,10,30,30,8,0.001,1.583
25,10,30,30,12,0.001,1.577
25,10,30,30,16,0.001,1.575
25,10,30,30,20,0.001,1.575
25,10,30,30,24,0.001,1.575
25,10,30,60,0,0.001,1.604
25,10,30,60,1,0.001,1.594
25,10,30,60,2,0.001,1.587
25,10,30,60,3,0.001,1.582
25,10,30,60,4,0.001,1.577
25,10,30,60,8,0.001,1.559
25,10,30,60,12,0.001,1.555
25,10,30,60,16,0.001,1.555
25,10,30,60,20,0.001,1.555
25,10,30,60,24,0.001,1.555
25,15,30,10,0,0.001,1.888
25,15,30,10,1,0.001,1.886
25,15,30,10,2,0.001,1.885
25,15,30,10,3,0.001,1.884
25,15,30,10,4,0.001,1.883
